"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"100507059",0.667633801392481,2.34606549198798,0.870167683803084,2.69610735454396,0.00701550525024239,0.0254535919317505,"LINC00703"
"7652",1.44884478912447,2.57201804810761,0.953985649980723,2.69607624408143,0.00701616052367953,0.0254535919317505,"ZNF99"
"107985862",0.707198714771557,2.22801425389565,0.826436328743014,2.69592971219501,0.00701924763462185,0.0254617814906945,"LOC107985862"
"105369367",1.02058414682382,2.37198134315912,0.879896841636817,2.69574935482967,0.00702304905015566,0.025468268334066,"LOC105369367"
"105369183",0.495628353829967,2.10919069917782,0.782397838964092,2.69580332937835,0.00702191122780216,0.025468268334066,"LOC105369183"
"25770",0.590381941210538,2.86923610630165,1.06438900390257,2.69566492680931,0.0070248291856753,0.0254699855919191,"C22orf31"
"107985858",0.947818567716764,2.23319265925589,0.828981663472448,2.69389874065666,0.00706216162666731,0.0255892060940608,"LOC107985858"
"105374423",0.942484153679099,2.23645704072803,0.830201469977119,2.69387265815088,0.00706271427322389,0.0255892060940608,"LOC105374423"
"105377505",0.888503527021674,2.13467257191518,0.792496499197176,2.69360504945784,0.00706838671669774,0.0256067349264574,"LOC105377505"
"374977",2.79439938258748,1.04214464420829,0.387030729905044,2.69266640523343,0.00708831530648891,0.025673087901055,"MROH7"
"107984409",1.12786106279533,1.71409616814498,0.636639911213651,2.69241079290385,0.00709375100791655,0.025686493325185,"LOC107984409"
"135398",0.975386966492497,2.08974016863058,0.776195850227837,2.69228464441955,0.00709643498637287,0.0256921338434644,"C6orf141"
"102466727",0.637876911785409,1.98874426576587,0.738689832533578,2.69225888617531,0.00709698313969785,0.0256921338434644,"MIR6749"
"105378803",0.790540122091111,2.62010317256281,0.973287151727981,2.69201454874963,0.00710218470069476,0.0257079315988347,"LRRC53"
"115019",1.24347176426372,2.07885288339715,0.772343266469327,2.6916177995574,0.00711063816094002,0.025735495209686,"SLC26A9"
"105373440",0.786950254927269,2.16006097534632,0.802653298593384,2.69115068626982,0.0071206024334521,0.0257615944649669,"LOC105373440"
"104355149",0.944112598118657,2.24516301218554,0.834287161613513,2.69111538027673,0.00712135607597715,0.0257615944649669,"LINC01039"
"107985684",1.42989166521672,2.39425960285064,0.889715813215745,2.69103860725701,0.00712299512175276,0.0257615944649669,"LOC107985684"
"105376557",1.04392414136179,1.97432945617968,0.733925222087534,2.69009620702775,0.00714314226387577,0.0258196407295429,"RASSF10-DT"
"100129278",1.54049244374325,1.55277806675412,0.577303599918839,2.68970792313164,0.00715145807693205,0.0258436111004346,"TDRD15"
"1179",0.813071933048386,2.657308224866,0.988469931813882,2.68830455974491,0.00718158619614851,0.0259402680305327,"CLCA1"
"140679",0.728318675029658,2.04933916129829,0.762703762450436,2.68693988700687,0.00721099289348595,0.0260189241522983,"SLC32A1"
"60495",3.27665995210122,1.47165595439551,0.547818623998891,2.68639270357937,0.00722281421623769,0.0260585143037741,"HPSE2"
"105376058",1.65480720303134,1.35946858002605,0.506205548640819,2.68560584465397,0.00723984396485827,0.0261138142446604,"LOC105376058"
"23554",0.899053243737116,2.61153117493654,0.972513410190886,2.68534207093755,0.00724556079840958,0.02612829257128,"TSPAN12"
"100287846",1.01004668245917,1.92879997331436,0.718340842465601,2.6850763026282,0.00725132495813712,0.0261429347174944,"LOC100287846"
"107984452",0.526124763902697,2.69611372511898,1.00446841828399,2.68411995443814,0.00727210093561515,0.026208600529907,"LOC107984452"
"9378",2.34430219369042,1.60276622392526,0.597172746764021,2.68392392755762,0.00727636606946064,0.0262208926655247,"NRXN1"
"105369983",1.47722507046975,1.73615517062584,0.647005472663473,2.68337014751786,0.00728842729231054,0.0262489445776817,"LOC105369983"
"439941",0.712693132520538,2.45643416618015,0.91545948508234,2.68328004265443,0.0072903914549321,0.0262529374523535,"FER1L6-AS1"
"692212",6.37495436446112,-1.19315699600185,0.444832313760386,-2.68226241460633,0.00731260734801511,0.0263082408318743,"SNORD99"
"105370472",0.68499902980606,2.40161978181713,0.895565158624022,2.68168067805034,0.00732533453915464,0.026347851188183,"LOC105370472"
"105375530",1.78282743191593,1.38877727194612,0.517902122920933,2.68154388731506,0.00732833012168376,0.0263555367132581,"LOC105375530"
"149281",0.85641262602816,2.29500857079031,0.855925993880908,2.68131659418868,0.0073333100479393,0.0263672664031823,"NTMT2"
"105377979",2.03537452948643,1.84664360115974,0.689007449152825,2.68015041554383,0.0073589084646601,0.0264407192323486,"LOC105377979"
"100132501",3.84709177920866,1.14236642412111,0.426294156316286,2.67976092844571,0.00736747581259075,0.0264684029193146,"LINC01415"
"101927879",0.773389156680102,2.81796971707018,1.05159407542095,2.67971243175952,0.00736854319550746,0.0264691388954387,"LOC101927879"
"105377628",1.44113659167168,1.42838561043668,0.533085137301947,2.67946995796212,0.00737388197906762,0.0264852165465387,"LOC105377628"
